uid,rank,pos_score,max_neg_score,n_train_items,item_popularity,is_cold,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,activity_segment,pop_bin
0,36,0.04830973222851753,0.34936094284057617,3,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
1,1,0.319211483001709,0.36083316802978516,4,9,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q2
2,36,0.18002399802207947,0.34018856287002563,14,51,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
3,25,0.07398045063018799,0.3015390634536743,5,40,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
4,0,0.47870394587516785,0.3421255946159363,27,6,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q2
4,0,0.4654325246810913,0.3359043002128601,27,107,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q4 (popular)
4,0,0.38545095920562744,0.3504894971847534,27,24,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q3
5,1,0.28885573148727417,0.35309746861457825,6,83,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q4 (popular)
6,83,-0.16441261768341064,0.15556755661964417,3,16,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q3
7,26,0.058475036174058914,0.17871128022670746,5,15,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q3
8,50,-0.06639983505010605,0.17888258397579193,4,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
9,1,0.4214528799057007,0.4563414454460144,20,5,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Warm (11-30),Q1 (cold)
9,0,0.5978090763092041,0.34753158688545227,20,10,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q2
10,0,0.45294782519340515,0.3637440502643585,31,59,False,1,1,1,1.0,1.0,1.0,Active (31-100),Q4 (popular)
10,45,0.16008993983268738,0.44204914569854736,31,48,False,0,0,0,0.0,0.0,0.0,Active (31-100),Q4 (popular)
10,1,0.43719983100891113,0.45929354429244995,31,282,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Active (31-100),Q4 (popular)
11,71,-0.06480173021554947,0.401039719581604,10,4,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
12,59,-0.020953770726919174,0.279095858335495,6,6,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
13,59,-0.030579794198274612,0.2614532709121704,4,11,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
14,14,-0.006487168371677399,0.30697500705718994,3,15,True,0,0,1,0.0,0.0,0.25,Cold (≤10),Q3
15,24,0.23149782419204712,0.4224220812320709,15,10,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q2
16,8,0.17406882345676422,0.31060677766799927,4,8,True,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Cold (≤10),Q2
17,17,0.2399064004421234,0.3723384737968445,21,17,False,0,0,1,0.0,0.0,0.23540891336663824,Warm (11-30),Q3
17,1,0.3647053837776184,0.41120362281799316,21,10,False,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Warm (11-30),Q2
18,43,0.14200350642204285,0.3847774863243103,11,4,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
19,10,0.2516022324562073,0.44987931847572327,11,20,False,0,0,1,0.0,0.0,0.27894294565112987,Warm (11-30),Q3
20,4,0.2583644986152649,0.3612969219684601,6,282,True,1,1,1,0.38685280723454163,0.38685280723454163,0.38685280723454163,Cold (≤10),Q4 (popular)
21,0,0.30051228404045105,0.19739878177642822,3,6,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q2
22,23,-0.005570326000452042,0.11257648468017578,3,48,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q4 (popular)
23,3,0.28994661569595337,0.33936652541160583,17,67,False,1,1,1,0.43067655807339306,0.43067655807339306,0.43067655807339306,Warm (11-30),Q4 (popular)
23,0,0.4251008629798889,0.3229514956474304,17,27,False,1,1,1,1.0,1.0,1.0,Warm (11-30),Q3
24,35,-0.008664006367325783,0.17049837112426758,5,3,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q1 (cold)
25,20,0.04350379854440689,0.1168944239616394,5,8,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
26,48,0.00017378106713294983,0.31718483567237854,7,8,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
27,23,0.08588488399982452,0.20036399364471436,3,22,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q3
28,2,0.3713509738445282,0.4037022590637207,3,3,True,1,1,1,0.5,0.5,0.5,Cold (≤10),Q1 (cold)
29,8,0.08223821222782135,0.28878337144851685,3,20,True,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Cold (≤10),Q3
30,0,0.412049800157547,0.32906389236450195,4,116,True,1,1,1,1.0,1.0,1.0,Cold (≤10),Q4 (popular)
31,6,0.3058472275733948,0.4342960715293884,18,15,False,0,1,1,0.0,0.3333333333333333,0.3333333333333333,Warm (11-30),Q3
31,77,0.07074552029371262,0.36792683601379395,18,3,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q1 (cold)
32,59,0.12517587840557098,0.41545629501342773,18,51,False,0,0,0,0.0,0.0,0.0,Warm (11-30),Q4 (popular)
32,6,0.23857153952121735,0.3269214332103729,18,34,False,0,1,1,0.0,0.3333333333333333,0.3333333333333333,Warm (11-30),Q4 (popular)
33,1,0.2516014575958252,0.2947119176387787,10,6,True,1,1,1,0.6309297535714575,0.6309297535714575,0.6309297535714575,Cold (≤10),Q2
34,8,0.08621260523796082,0.20037543773651123,7,12,True,0,1,1,0.0,0.3010299956639812,0.3010299956639812,Cold (≤10),Q2
35,69,-0.11593799293041229,0.14600339531898499,4,6,True,0,0,0,0.0,0.0,0.0,Cold (≤10),Q2
